pyClassName,pyPropertyName,pyPropertyMode,pyPageClass,pyStringType,pyTextValue(1),pxUpdateDateTime,pxUpdateOpName,pzInsKey
NFCU-Data-ACCT-Account-Len,UnpaidFeeBalance,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:53.2,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN UNPAIDFEEBALANCE #20201228T214953.184 GMT
NFCU-Data-ACCT-Account-Len,TermIncrement,String,NULL,Integer,NFCU-Data-Account:01-01-21,01:32.8,Heenakausar Halli,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN TERMINCREMENT #20230420T210132.778 GMT
NFCU-Data-ACCT-Account-Len,ExpirationDate,String,NULL,Date,NFCU-Data-Account:01-01-10,19:37.9,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN EXPIRATIONDATE #20221220T171937.949 GMT
NFCU-Data-ACCT-Account-Len,DayOfMonthBillingCycle,String,NULL,Integer,NFCU-Data-Account:01-01-10,19:37.6,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN DAYOFMONTHBILLINGCYCLE #20221220T171937.570 GMT
NFCU-Data-ACCT-Account-Len,PastLateFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,35:32.0,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PASTLATEFEE #20210209T223531.983 GMT
NFCU-Data-ACCT-Account-Len,BillingSchedulePage,Page,NFCU-Data-EVNT-FIN-TXN-Type-Len,Text,NFCU-Data-Account:01-01-14,58:04.3,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN BILLINGSCHEDULEPAGE #20230207T175804.317 GMT
NFCU-Data-ACCT-Account-Len,PrevYearToDateInterestIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:37.6,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PREVYEARTODATEINTERESTINCOME #20201228T214937.612 GMT
NFCU-Data-ACCT-Account-Len,PrevYearToDateOriginationFee,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:37.9,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PREVYEARTODATEORIGINATIONFEE #20201228T214937.885 GMT
NFCU-Data-ACCT-Account-Len,FirstPaymentDate,String,NULL,Date,NFCU-Data-Account:01-01-03,30:41.6,Shraddha Gawde,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN FIRSTPAYMENTDATE #20211122T223041.599 GMT
NFCU-Data-ACCT-Account,InsurancePageList,PageList,NFCU-Data-ACCT-Insurance,Text,NFCU-Data-Account:01-01-21,46:27.2,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT INSURANCEPAGELIST #20230418T204627.195 GMT
NFCU-Data-ACCT-Account,OverdraftProtection,String,NULL,TrueFalse,NFCU-Data-Account:01-01-10,19:40.3,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT OVERDRAFTPROTECTION #20221220T171940.345 GMT
NFCU-Data-ACCT-Account,BusinessSourceType,String,NULL,Text,NFCU-Data-Account:01-01-01,21:23.4,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT BUSINESSSOURCETYPE #20201202T222123.440 GMT
NFCU-Data-ACCT-Account,RelationshipCode,String,NULL,Text,NFCU-Data-Account:01-01-01,49:44.6,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT RELATIONSHIPCODE #20201228T214944.651 GMT
NFCU-Data-ACCT-Account,FixedPaymentAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-01,42:15.7,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT FIXEDPAYMENTAMOUNT #20210219T204215.724 GMT
NFCU-Data-ACCT-Account,ApplicationPageList,PageList,NFCU-Data-ACCT-Application,Text,NFCU-Data-Account:01-01-01,21:23.0,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT APPLICATIONPAGELIST #20201202T222123.004 GMT
NFCU-Data-ACCT-Account,PlanBalance,String,NULL,Decimal,NFCU-Data-Account:01-01-04,02:52.6,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT PLANBALANCE #20220525T210252.617 GMT
NFCU-Data-ACCT-Account,AccuredFeesOrChargesPage,Page,NFCU-Data-ACCT-Fees,Text,NFCU-Data-Account:01-01-12,09:37.4,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT ACCUREDFEESORCHARGESPAGE #20230113T200937.378 GMT
NFCU-Data-ACCT-Account,ChannelType,String,NULL,Text,NFCU-Data-Account:01-01-01,21:23.9,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT CHANNELTYPE #20201202T222123.911 GMT
NFCU-Data-ACCT-Account,AccountSubType,String,NULL,Text,NFCU-Data-Account:01-01-01,21:21.6,Ram Boppudi,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT ACCOUNTSUBTYPE #20201202T222121.608 GMT
NFCU-Data-ACCT-Account,BackupWithholdingType,String,NULL,Text,NFCU-Data-Account:01-01-01,49:01.0,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT BACKUPWITHHOLDINGTYPE #20201228T214900.991 GMT
